OWNERSHIPCD,CAMERALABEL,IMAGEURL,VIDEOURL,WEBURL,LONGITUDE,LATITUDE,LOCATION
SDOT,MLK Way S & S Alaska St - EW,http://www.seattle.gov/trafficcams/images/Alaska_MLK.jpg,rtmp://156.74.125.142:1935/live&file=Alaska_MLK.stream,http://www.seattle.gov/trafficcams/Alaska_MLK.htm,-122.2926,47.56083,"(47.56083, -122.29260)"
SDOT,California Ave SW & SW Alaska St,http://www.seattle.gov/trafficcams/images/California_Alaska.jpg,rtmp://156.74.125.146:1935/live&file=California_Alaska.stream,NULL,-122.3869,47.56097,"(47.56097, -122.38690)"
SDOT,42nd Ave SW & SW Alaska St,http://www.seattle.gov/trafficcams/images/Alaska_42.jpg,rtmp://156.74.125.142:1935/live&file=42_Alaska.stream,NULL,-122.38532,47.56099,"(47.56099, -122.38532)"
SDOT,Fauntleroy Way SW & SW Alaska St,http://www.seattle.gov/trafficcams/images/Fauntleroy_Alaska.jpg,rtmp://156.74.125.146:1935/live&file=Fauntleroy_Alaska.stream,http://www.seattle.gov/trafficcams/fauntleroy_alaska.htm,-122.38128,47.56119,"(47.56119, -122.38128)"
SDOT,E Marginal Way S & S Idaho St,http://www.seattle.gov/trafficcams/images/EMarg_Idaho.jpg,rtmp://156.74.125.146:1935/live&file=EMarg_Idaho.stream,NULL,-122.33953,47.56432,"(47.56432, -122.33953)"
SDOT,35th Ave SW & SW Fauntleroy,http://www.seattle.gov/trafficcams/images/35_Fauntleroy.jpg,rtmp://156.74.125.142:1935/live&file=35_Fauntleroy.stream,http://www.seattle.gov/trafficcams/35th_fauntleroy.htm,-122.3761,47.56494,"(47.56494, -122.37610)"
SDOT,Airport Way S & S Industrial Way,http://www.seattle.gov/trafficcams/images/Airport_Industrial.jpg,rtmp://156.74.125.142:1935/live&file=Airport_Industrial.stream,NULL,-122.32287,47.56494,"(47.56494, -122.32287)"
SDOT,West Seattle Fwy Pullout,http://www.seattle.gov/trafficcams/images/WS_Bridge_Fauntleroy.jpg,rtmp://156.74.125.146:1935/live&file=Wsea_FwyPullOut.stream,NULL,-122.37297,47.56978,"(47.56978, -122.37297)"
SDOT,W Seattle Bridge Mid,http://www.seattle.gov/trafficcams/images/WS_Bridgedeck_East.jpg,rtmp://156.74.125.146:1935/live&file=Wsea_Mid.stream,http://www.seattle.gov/trafficcams/WSB_Mid-span.htm,-122.34991,47.57088,"(47.57088, -122.34991)"
SDOT,W Seattle Bridge West,http://www.seattle.gov/trafficcams/images/WS_Bridge_West.jpg,rtmp://156.74.125.146:1935/live&file=Wsea_West.stream,http://www.seattle.gov/trafficcams/WSB_Delridge.htm,-122.35652,47.57118,"(47.57118, -122.35652)"
SDOT,6th Ave S & S Spokane St,http://www.seattle.gov/trafficcams/images/6_Spokane.jpg,rtmp://156.74.125.142:1935/live&file=6_Spokane.stream,http://www.seattle.gov/trafficcams/6th_Spokane.htm,-122.32593,47.57125,"(47.57125, -122.32593)"
SDOT,11th Ave SW & SW Spokane St,http://www.seattle.gov/trafficcams/images/11_Spokane.jpg,rtmp://156.74.125.142:1935/live&file=11_Spokane.stream,http://www.seattle.gov/trafficcams/11th_spokane.htm,-122.3491,47.57161,"(47.57161, -122.34910)"
SDOT,Chelan Ave SW & W Marginal Way SW,http://www.seattle.gov/trafficcams/images/Chelan_St_East.jpg,rtmp://156.74.125.146:1935/live&file=Chelan_Marginal.stream,http://www.seattle.gov/trafficcams/Marginal_Chelan.htm,-122.36021,47.57209,"(47.57209, -122.36021)"
WSDOT,I-5 @ S Spokane St,http://images.wsdot.wa.gov/nw/005vc16297.jpg,NULL,http://www.seattle.gov/trafficcams/i5_spokane.htm,-122.31949,47.57278,"(47.57278, -122.31949)"
SDOT,E Marginal Way S & S Hanford St,http://www.seattle.gov/trafficcams/images/EMarg_Hanford.jpg,rtmp://156.74.125.146:1935/live&file=EMarg_Hanford.stream,NULL,-122.33994,47.57576,"(47.57576, -122.33994)"
SDOT,SR99 & Lander St,http://www.seattle.gov/trafficcams/images/SR99_Lander.jpg,rtmp://156.74.125.146:1935/live&file=SR99_Lander.stream,NULL,-122.33951,47.57975,"(47.57975, -122.33951)"
SDOT,3rd Ave S & S Lander St,http://www.seattle.gov/trafficcams/images/3_Lander.jpg,rtmp://156.74.125.142:1935/live&file=3_Lander.stream,http://www.seattle.gov/trafficcams/3rd_Lander.htm,-122.33064,47.57985,"(47.57985, -122.33064)"
SDOT,Airport Way S & S Lander St,http://www.seattle.gov/trafficcams/images/Airport_Lander.jpg,rtmp://156.74.125.142:1935/live&file=Airport_Lander.stream,NULL,-122.3213,47.57991,"(47.57991, -122.32130)"
WSDOT,I-5 @ S Holgate St,http://images.wsdot.wa.gov/nw/005vc16396.jpg,NULL,http://www.seattle.gov/trafficcams/i5_holgate.htm,-122.32322,47.5861,"(47.58610, -122.32322)"
SDOT,1st Ave S & S Holgate St,http://www.seattle.gov/trafficcams/images/1_Holgate.jpg,rtmp://156.74.125.142:1935/live&file=1_Holgate.stream,http://www.seattle.gov/trafficcams/1st_Holgate.htm,-122.33436,47.58621,"(47.58621, -122.33436)"
WSDOT,I-90 Midspan,http://images.wsdot.wa.gov/nw/090vc00508.jpg,NULL,http://www.seattle.gov/trafficcams/i90_midspan.htm,-122.27021,47.58989,"(47.58989, -122.27021)"
SDOT,1st Ave S & S Atlantic St,http://www.seattle.gov/trafficcams/images/1_Atlantic.jpg,rtmp://156.74.125.142:1935/live&file=1_Atlantic.stream,NULL,-122.33405,47.59014,"(47.59014, -122.33405)"
WSDOT,SR-520 East Highrise,http://images.wsdot.wa.gov/nw/520vc00398.jpg,NULL,http://www.seattle.gov/trafficcams/sr520_midspaneast.htm,-122.29969,47.59014,"(47.59014, -122.29969)"
WSDOT,I-90 @ 18th Ave S,http://images.wsdot.wa.gov/nw/090vc00318.jpg,NULL,http://www.seattle.gov/trafficcams/i90_18th.htm,-122.28579,47.59024,"(47.59024, -122.28579)"
SDOT,4th Ave S & S Atlantic St,http://www.seattle.gov/trafficcams/images/4th_Atlantic.jpg,rtmp://156.74.125.142:1935/live&file=4_Atlantic.stream,http://www.seattle.gov/trafficcams/4th_atlantic.htm,-122.32844,47.59034,"(47.59034, -122.32844)"
SDOT,1st Ave S & S Royal Brougham Way,http://www.seattle.gov/trafficcams/images/1_RoyalBrougham.jpg,rtmp://156.74.125.142:1935/live&file=1_RoyalB.stream,http://www.seattle.gov/trafficcams/royal_safeco.htm,-122.33438,47.59226,"(47.59226, -122.33438)"
SDOT,4th Ave S @ I-90 TD,http://www.seattle.gov/trafficcams/images/4thave_i90.jpg,rtmp://156.74.125.142:1935/live&file=4_I90.stream,http://www.seattle.gov/trafficcams/4thave_i90.htm,-122.32924,47.59341,"(47.59341, -122.32924)"
WSDOT,I-5 @ I-90 Interchange,http://images.wsdot.wa.gov/nw/090vc00245.jpg,NULL,http://www.seattle.gov/trafficcams/i5_i90.htm,-122.32036,47.59365,"(47.59365, -122.32036)"
SDOT,Rainier Ave S & S Dearborn St,http://www.seattle.gov/trafficcams/images/Rainier_Dearborn.jpg,rtmp://156.74.125.146:1935/live&file=Rainier_Dearborn.stream,NULL,-122.31155,47.59577,"(47.59577, -122.31155)"
SDOT,5th Ave S & S Dearborn St,http://www.seattle.gov/trafficcams/images/5_Dearborn.jpg,rtmp://156.74.125.142:1935/live&file=5_Dearborn.stream,NULL,-122.32779,47.59587,"(47.59587, -122.32779)"
SDOT,4th Ave S & S Jackson St,http://www.seattle.gov/trafficcams/images/4_Jackson.jpg,rtmp://156.74.125.142:1935/live&file=4_Jackson.stream,NULL,-122.32915,47.59912,"(47.59912, -122.32915)"
SDOT,23rd Ave S & S Jackson St - EW,http://www.seattle.gov/trafficcams/images/Jackson_23.jpg,rtmp://156.74.125.146:1935/live&file=Jackson_23.stream,NULL,-122.30233,47.59932,"(47.59932, -122.30233)"
SDOT,23rd Ave S & S Jackson St - NS,http://www.seattle.gov/trafficcams/images/23_Jackson.jpg,rtmp://156.74.125.142:1935/live&file=23_Jackson.stream,NULL,-122.30214,47.59939,"(47.59939, -122.30214)"
SDOT,Alaskan Way & S Washington St,http://www.seattle.gov/trafficcams/images/Alaskan_Washington.jpg,rtmp://156.74.125.146:1935/live&file=Alaskan_Washington.stream,http://www.seattle.gov/trafficcams/alaskan_wash.htm,-122.33583,47.60013,"(47.60013, -122.33583)"
WSDOT,I-5 @ Yesler St,http://images.wsdot.wa.gov/nw/005vc16508.jpg,NULL,http://www.seattle.gov/trafficcams/i5_yesler.htm,-122.32378,47.60053,"(47.60053, -122.32378)"
SDOT,12th Ave S & Boren Ave S,http://www.seattle.gov/trafficcams/images/12_Boren.jpg,rtmp://156.74.125.142:1935/live&file=12_Boren.stream,NULL,-122.31711,47.60081,"(47.60081, -122.31711)"
SDOT,5th Ave & James St,http://www.seattle.gov/trafficcams/images/5_James.jpg,rtmp://156.74.125.142:1935/live&file=5_James.stream,NULL,-122.32912,47.60381,"(47.60381, -122.32912)"
SDOT,9th & James,http://www.seattle.gov/trafficcams/images/9_James.jpg,rtmp://156.74.125.142:1935/live&file=9_James.stream,NULL,-122.32454,47.60555,"(47.60555, -122.32454)"
SDOT,23rd Ave E & E Cherry St - EW,http://www.seattle.gov/trafficcams/images/ECherry_23.jpg,rtmp://156.74.125.146:1935/live&file=Cherry_23.stream,NULL,-122.30262,47.60797,"(47.60797, -122.30262)"
SDOT,23rd Ave E & E Cherry St - NS,http://www.seattle.gov/trafficcams/images/23E_Cherry.jpg,rtmp://156.74.125.142:1935/live&file=23_Cherry.stream,NULL,-122.30268,47.60812,"(47.60812, -122.30268)"
SDOT,Boren & Madison,http://www.seattle.gov/trafficcams/images/Boren_Madison.jpg,rtmp://156.74.125.146:1935/live&file=Boren_Madison.stream,http://www.seattle.gov/trafficcams/boren_madison.htm,-122.32534,47.60934,"(47.60934, -122.32534)"
SDOT,Boren & Seneca,http://www.seattle.gov/trafficcams/images/Boren_Seneca.jpg,rtmp://156.74.125.146:1935/live&file=Boren_Seneca.stream,NULL,-122.32645,47.61064,"(47.61064, -122.32645)"
SDOT,2nd & Stewart,http://www.seattle.gov/trafficcams/images/2_Stewart.jpg,rtmp://156.74.125.142:1935/live&file=2_Stewart.stream,NULL,-122.34027,47.61094,"(47.61094, -122.34027)"
SDOT,SR99 Viaduct & Blanchard St,http://www.seattle.gov/trafficcams/images/SR99_Viaduct.jpg,rtmp://156.74.125.146:1935/live&file=SR99_Western.stream,NULL,-122.34659,47.61154,"(47.61154, -122.34659)"
SDOT,7th Ave & Pike St,http://www.seattle.gov/trafficcams/images/7_Pike.jpg,rtmp://156.74.125.142:1935/live&file=7_Pike.stream,http://www.seattle.gov/trafficcams/7th_pike.htm,-122.33351,47.61162,"(47.61162, -122.33351)"
SDOT,Broadway & E Pike St - NS,http://www.seattle.gov/trafficcams/images/Broadway_EPike.jpg,rtmp://156.74.125.146:1935/live&file=Broadway_Pike.stream,NULL,-122.3209,47.61395,"(47.61395, -122.32090)"
SDOT,Broadway & E Pike St - EW,http://www.seattle.gov/trafficcams/images/EPike_Broadway.jpg,rtmp://156.74.125.146:1935/live&file=Pike_Broadway.stream,NULL,-122.32058,47.614,"(47.61400, -122.32058)"
SDOT,8th Ave & Howell St,http://www.seattle.gov/trafficcams/images/8_Howell.jpg,rtmp://156.74.125.142:1935/live&file=8_Howell.stream,http://www.seattle.gov/trafficcams/8thOlive_Howell.htm,-122.33375,47.61409,"(47.61409, -122.33375)"
WSDOT,I-5 @ Pine St,http://images.wsdot.wa.gov/nw/005vc16607.jpg,NULL,http://www.seattle.gov/trafficcams/i5_pine.htm,-122.32965,47.61453,"(47.61453, -122.32965)"
SDOT,16th Ave E & E Madison St,http://www.seattle.gov/trafficcams/images/16_Madison.jpg,rtmp://156.74.125.142:1935/live&file=16_Madison.stream,NULL,-122.31143,47.61513,"(47.61513, -122.31143)"
SDOT,Elliott & Broad,http://www.seattle.gov/trafficcams/images/Elliott_Broad.jpg,rtmp://156.74.125.146:1935/live&file=Elliott_Broad.stream,NULL,-122.35417,47.61547,"(47.61547, -122.35417)"
SDOT,Boren & Howell,http://www.seattle.gov/trafficcams/images/Boren_Howell.jpg,rtmp://156.74.125.146:1935/live&file=Boren_Howell.stream,NULL,-122.33159,47.61614,"(47.61614, -122.33159)"
SDOT,"Denny,Stewart,Yale",http://www.seattle.gov/trafficcams/images/Yale_Denny.jpg,rtmp://156.74.125.146:1935/live&file=Denny_Yale.stream,NULL,-122.33091,47.61843,"(47.61843, -122.33091)"
SDOT,Dexter & Denny,http://www.seattle.gov/trafficcams/images/Dexter_Denny.jpg,rtmp://156.74.125.146:1935/live&file=Denny_Dexter.stream,NULL,-122.34222,47.61848,"(47.61848, -122.34222)"
SDOT,Denny Way & 4th Ave N,http://www.seattle.gov/trafficcams/images/4_Denny.jpg,rtmp://156.74.125.146:1935/live&file=Denny_4.stream,NULL,-122.34876,47.6185,"(47.61850, -122.34876)"
SDOT,1st Ave & Denny Way,http://www.seattle.gov/trafficcams/images/1_Denny.jpg,rtmp://156.74.125.142:1935/live&file=1_Denny.stream,NULL,-122.35557,47.61851,"(47.61851, -122.35557)"
SDOT,23rd Ave E & E Madison St - EW,http://www.seattle.gov/trafficcams/images/EMadison_23.jpg,rtmp://156.74.125.146:1935/live&file=Madison_23.stream,NULL,-122.30268,47.61917,"(47.61917, -122.30268)"
SDOT,23rd Ave E & E Madison St - NS,http://www.seattle.gov/trafficcams/images/23E_Madison.jpg,rtmp://156.74.125.142:1935/live&file=23_Madison.stream,NULL,-122.30244,47.61939,"(47.61939, -122.30244)"
SDOT,Eastlake Ave & Stewart St,http://www.seattle.gov/trafficcams/images/Eastlake_Stewart.jpg,rtmp://156.74.125.146:1935/live&file=Eastlake_Stewart.stream,NULL,-122.32904,47.61969,"(47.61969, -122.32904)"
SDOT,Western & Elliott,http://www.seattle.gov/trafficcams/images/Western_Elliott.jpg,rtmp://156.74.125.146:1935/live&file=Western_Elliott.stream,NULL,-122.3599,47.62002,"(47.62002, -122.35990)"
SDOT,Queen Anne Ave N & Mercer St,http://www.seattle.gov/trafficcams/images/QueenAnne_Mercer.jpg,rtmp://156.74.125.146:1935/live&file=QueenAnne_Mercer.stream,NULL,-122.3566,47.62446,"(47.62446, -122.35660)"
SDOT,Aurora Ave N & Mercer St,http://www.seattle.gov/trafficcams/images/aurora_mercer.jpg,rtmp://156.74.125.146:1935/live&file=Aurora_Mercer.stream,http://www.seattle.gov/trafficcams/aurora_mercer.htm,-122.34356,47.62451,"(47.62451, -122.34356)"
SDOT,Fairview & Mercer,http://www.seattle.gov/trafficcams/images/Fairview_Mercer.jpg,rtmp://156.74.125.146:1935/live&file=Fairview_Mercer.stream,http://www.seattle.gov/trafficcams/fairview_mercer.htm,-122.33438,47.62462,"(47.62462, -122.33438)"
SDOT,Broadway & E Roy St,http://www.seattle.gov/trafficcams/images/Broadway_Roy.jpg,rtmp://156.74.125.146:1935/live&file=Broadway_Roy.stream,NULL,-122.32086,47.62512,"(47.62512, -122.32086)"
WSDOT,I-5 @ Mercer St,http://images.wsdot.wa.gov/nw/005vc16702.jpg,NULL,http://www.seattle.gov/trafficcams/i5_mercer.htm,-122.32849,47.6256,"(47.62560, -122.32849)"
SDOT,Westlake & Broad,http://www.seattle.gov/trafficcams/images/Westlake_Broad.jpg,rtmp://156.74.125.146:1935/live&file=Westlake_Broad.stream,NULL,-122.33861,47.62561,"(47.62561, -122.33861)"
SDOT,Fairview & Valley,http://www.seattle.gov/trafficcams/images/Fairview_Valley.jpg,rtmp://156.74.125.146:1935/live&file=Fairview_Valley.stream,http://www.seattle.gov/trafficcams/fairview_valley.htm,-122.33426,47.62621,"(47.62621, -122.33426)"
SDOT,Elliott Ave W & W Mercer Pl,http://www.seattle.gov/trafficcams/images/Elliott_Mercer.jpg,rtmp://156.74.125.146:1935/live&file=Elliott_Mercer.stream,NULL,-122.36836,47.62649,"(47.62649, -122.36836)"
SDOT,Aurora Ave N & Aloha St,http://www.seattle.gov/trafficcams/images/Aurora_Aloha_South.jpg,rtmp://156.74.125.146:1935/live&file=Aurora_Aloha.stream,http://www.seattle.gov/trafficcams/Aurora_aloha.htm,-122.34367,47.62661,"(47.62661, -122.34367)"
SDOT,Aurora Ave N & Ward St,http://www.seattle.gov/trafficcams/images/Aurora_Ward.jpg,rtmp://156.74.125.146:1935/live&file=Aurora_Ward.stream,NULL,-122.34354,47.62793,"(47.62793, -122.34354)"
WSDOT,SR-520 East Highrise,http://images.wsdot.wa.gov/nw/520vc00398.jpg,NULL,http://www.seattle.gov/trafficcams/sr520_midspaneast.htm,-122.25642,47.63994,"(47.63994, -122.25642)"
SDOT,Montlake Blvd E & E Lake Wash Blvd,http://www.seattle.gov/trafficcams/images/Montlake_LakeWash.jpg,rtmp://156.74.125.146:1935/live&file=Montlake_LakeWash.stream,http://www.seattle.gov/trafficcams/Montlake_LakeWash.htm,-122.30412,47.64387,"(47.64387, -122.30412)"
WSDOT,SR-520 @ Montlake Blvd,http://images.wsdot.wa.gov/nw/520vc00093.jpg,NULL,http://www.seattle.gov/trafficcams/sr520_montlake.htm,-122.30519,47.64394,"(47.64394, -122.30519)"
WSDOT,SR-520 @ West Highrise,http://images.wsdot.wa.gov/nw/520vc00241.jpg,NULL,http://www.seattle.gov/trafficcams/sr520_midspan.htm,-122.28833,47.64476,"(47.64476, -122.28833)"
SDOT,4th Ave N & Dexter Ave N,http://www.seattle.gov/trafficcams/images/Westlake_Dexter.jpg,rtmp://156.74.125.146:1935/live&file=Westlake_Dexter.stream,NULL,-122.34977,47.64606,"(47.64606, -122.34977)"
SDOT,15th Ave W & W Dravus St,http://www.seattle.gov/trafficcams/images/15W_Dravus.jpg,rtmp://156.74.125.142:1935/live&file=15_Dravus.stream,NULL,-122.3764,47.64844,"(47.64844, -122.37640)"
SDOT,Montlake Blvd NE & NE Pacific St,http://www.seattle.gov/trafficcams/images/Montlake_Pacific.jpg,rtmp://156.74.125.146:1935/live&file=Montlake_Pacific1.stream,http://www.seattle.gov/trafficcams/Montlake_Pacific.htm,-122.30468,47.64922,"(47.64922, -122.30468)"
SDOT,Eastlake Ave E & Harvard Ave E,http://www.seattle.gov/trafficcams/images/Harvard_Eastlake.jpg,rtmp://156.74.125.146:1935/live&file=Eastlake_Harvard.stream,NULL,-122.32204,47.65044,"(47.65044, -122.32204)"
SDOT,Fremont Ave N & N 36th St,http://www.seattle.gov/trafficcams/images/Fremont_36.jpg,rtmp://156.74.125.146:1935/live&file=Fremont_36.stream,NULL,-122.34988,47.65143,"(47.65143, -122.34988)"
SDOT,Evanston Ave N & N 36th St,http://www.seattle.gov/trafficcams/images/Evanston_36.jpg,rtmp://156.74.125.146:1935/live&file=Evanston_36.stream,NULL,-122.3513,47.65154,"(47.65154, -122.35130)"
SDOT,15th Ave W & W Emerson St,http://www.seattle.gov/trafficcams/images/15W_Emerson.jpg,rtmp://156.74.125.142:1935/live&file=15_Emerson.stream,NULL,-122.37612,47.65408,"(47.65408, -122.37612)"
SDOT,Montlake Blvd NE & 25th Ave NE,http://www.seattle.gov/trafficcams/images/Montlake_25.jpg,rtmp://156.74.125.146:1935/live&file=Montlake_25.stream,http://www.seattle.gov/trafficcams/montlake_25th.htm,-122.30071,47.6598,"(47.65980, -122.30071)"
SDOT,NE 45th St & Union Bay Pl,http://www.seattle.gov/trafficcams/images/NE45_UnionBay.jpg,rtmp://156.74.125.142:1935/live&file=45_UnionBay.stream,http://www.seattle.gov/trafficcams/45_Union_Bay.htm,-122.29531,47.66131,"(47.66131, -122.29531)"
WSDOT,I-5 @ NE 45th St,http://images.wsdot.wa.gov/nw/005vc16939.jpg,NULL,NULL,-122.32215,47.66133,"(47.66133, -122.32215)"
SDOT,Aurora Ave N & N 46th St,http://www.seattle.gov/trafficcams/images/Aurora_46.jpg,rtmp://156.74.125.142:1935/live&file=Aurora_46.stream,NULL,-122.34743,47.6617,"(47.66170, -122.34743)"
SDOT,15th Ave NW & NW Leary Way,http://www.seattle.gov/trafficcams/images/15NW_Leary.jpg,rtmp://156.74.125.142:1935/live&file=15_Leary.stream,NULL,-122.37593,47.6636,"(47.66360, -122.37593)"
SDOT,15th Ave NW & NW Market St - NS,http://www.seattle.gov/trafficcams/images/15NW_Market.jpg,rtmp://156.74.125.142:1935/live&file=15_Market.stream,NULL,-122.37631,47.66852,"(47.66852, -122.37631)"
SDOT,15th Ave NW & NW Market St - EW,http://www.seattle.gov/trafficcams/images/NWMarket_15.jpg,rtmp://156.74.125.146:1935/live&file=Market_15.stream,NULL,-122.37595,47.6686,"(47.66860, -122.37595)"
SDOT,15th Ave NW & NW 65th St - NS,http://www.seattle.gov/trafficcams/images/15NW_65.jpg,rtmp://156.74.125.142:1935/live&file=15NW_65.stream,NULL,-122.37621,47.6759,"(47.67590, -122.37621)"
SDOT,15th Ave NW & NW 65th St - EW,http://www.seattle.gov/trafficcams/images/NW65_15.jpg,rtmp://156.74.125.142:1935/live&file=65_15NW.stream,NULL,-122.37671,47.67611,"(47.67611, -122.37671)"
SDOT,25th Ave NE & NE 65th St,http://www.seattle.gov/trafficcams/images/25NE_65.jpg,rtmp://156.74.125.142:1935/live&file=25NE_65.stream,NULL,-122.30073,47.67669,"(47.67669, -122.30073)"
WSDOT,I-5 @ Lake City Way,http://images.wsdot.wa.gov/nw/005vc17078.jpg,NULL,http://www.seattle.gov/trafficcams/i5_lakecityway.htm,-122.32067,47.68137,"(47.68137, -122.32067)"
SDOT,Roosevelt Way NE & NE 75th St,http://www.seattle.gov/trafficcams/images/Roosevelt_75.jpg,rtmp://156.74.125.146:1935/live&file=Roosevelt_75.stream,NULL,-122.31757,47.6825,"(47.68250, -122.31757)"
SDOT,Aurora Ave N & Winona Ave N,http://www.seattle.gov/trafficcams/images/aurora_winona.jpg,rtmp://156.74.125.146:1935/live&file=Aurora_Winona.stream,http://www.seattle.gov/trafficcams/aurora_winona.htm,-122.34439,47.68294,"(47.68294, -122.34439)"
SDOT,LCW & 15th Ave NE - EW,http://www.seattle.gov/trafficcams/images/15_LCW.jpg,rtmp://156.74.125.142:1935/live&file=15_LCW.stream,NULL,-122.31221,47.68658,"(47.68658, -122.31221)"
SDOT,LCW & 15th Ave NE - NS,http://www.seattle.gov/trafficcams/images/LCW_15.jpg,rtmp://156.74.125.146:1935/live&file=LCW_15.stream,http://www.seattle.gov/trafficcams/lakecity_15th.htm,-122.31085,47.68835,"(47.68835, -122.31085)"
WSDOT,I-5 @ NE 85th st,http://images.wsdot.wa.gov/nw/005vc17153.jpg,NULL,http://www.seattle.gov/trafficcams/i5_85th.htm,-122.32895,47.6905,"(47.69050, -122.32895)"
SDOT,15th Ave NW & NW 85th St,http://www.seattle.gov/trafficcams/images/15NW_85.jpg,rtmp://156.74.125.142:1935/live&file=15NW_85.stream,NULL,-122.3769,47.6905,"(47.69050, -122.37690)"
SDOT,Aurora Ave N & N 85th St,http://www.seattle.gov/trafficcams/images/aurora_85th.jpg,rtmp://156.74.125.142:1935/live&file=85_Aurora.stream,http://www.seattle.gov/trafficcams/aurora_85th.htm,-122.34638,47.69051,"(47.69051, -122.34638)"
